Diameter (microns),Velocity (m/s)
52.7,51.7718943705206
209.3,32.9206430819985
67.3,48.5951606753126
66.6,51.5600654686627
125.1,47.2433944347349
104.1,39.0642758071195
104.3,43.3403889821207
37.8,52.1271343555014
79.5,48.2365501774822
68.3,49.9526729106787
68.1,49.2574544974599
122.2,43.7130777972407
58.7,50.5609935216682
51.5,56.6964108155127
48.9,49.3090106947629
57.3,49.0383436870365
152.6,41.0253252694574
34.6,51.9525331377098
138.9,39.2045636474964
125,39.0395833656244
57.3,48.3362917692384
73.6,48.7846539877055
41.9,48.1106132407422
114.2,40.4468468845672
46.2,54.7405262839839
53.7,52.2706535594073
84.7,44.1244753767023
61.7,51.3952714109356
111.5,47.3443998185811
49.2,51.8155301740472
86.2,47.1554957662081
51.2,51.7241352647298
92.6,44.3991478665218
98.9,46.5996207693377
44,52.8862112096902
50.9,52.0871238471996
135.7,38.4123844566992
84.6,41.6445996460861
38.5,51.0393788440031
81.7,44.1771624511576
156.1,33.4378246241567
107.3,44.9483702189905
40.8,49.1634015652294
190.4,33.1703045692023
75.4,48.8846986409695
104.1,47.3896824430673
105,44.7075906680591
32.6,53.2802129269925
35.1,51.0056734661683
60.9,47.8112472741919
33.2,52.8811184164413
115.9,46.2672009655197
43,49.6198805639614
91.4,51.030873671678
138.4,40.3937110516477
35.7,54.692116488288
109.8,42.5096536751504
44.5,47.8628614650232
138.2,40.0266629288613
86.1,48.3589660887785
127.4,40.7971484349079
72.5,44.4874637564561
54.3,51.6657639526155
38.4,55.9199009138808
182.6,33.6842250528376
34.7,52.9684872087237
86.5,45.8829954257459
77.4,48.0126647086045
53.6,49.5062396284253
62.9,48.5106793672632
35.9,52.3072692950126
98.3,46.1613112558297
48.4,52.0397404826303
97.1,48.9508402435414
46.3,50.8791109190973
48.6,54.1948837527248
58.7,49.5101044307288
50.7,55.1502236430016
64.3,48.2773949136786
87,45.8301161828324
43.7,51.1862728192873
38.9,52.6541177075767
95.2,43.7062604631802
73.3,47.7302221246696
78,48.3670300564926
54.8,52.25616304176
129.6,42.2874784245196
78.7,50.5036831822974
53.1,51.4116754069671
45.4,55.8623782754146
39.1,47.913526645867
33.7,52.3179950185169
57.9,47.391120445529
40.9,50.3780984577657
188.1,32.0452667125395
36,48.8111490818301
65.3,50.4907039790803
40.8,55.1863504779446
111.1,49.9552782259703
167.3,39.8310462103888
34.2,51.2831413579791
89.6,47.7039973387409
49.1,49.8364985817383
122.7,45.2538917808905
37.9,54.6162059782363
125.8,46.2581204599326
47.7,55.929880718766
64.2,48.3101103924211
52.3,52.0206981830294
65.1,46.6078324962903
63.1,50.5356570551352
41.1,53.8668246766405
78.7,50.3928273143355
86,49.6129129701689
61.8,51.2348745940526
54.3,55.0388578685938
142.7,42.2471741319919
252,28.8768140612363
101.9,47.2266613296299
106.1,43.6056282504127
143.1,42.3208273620121
60.7,47.7778688186013
36.5,52.575623349654
143.9,41.4944350618523
66.1,46.6231008847882
61.5,52.2453547660745
67.1,46.3095738243324
42.1,55.4886853724496
35.2,49.3584477415773
76.9,51.4642963461828
73.3,54.5481467077049
65.6,48.5401644180272
109.9,43.8547997117325
95,48.0109297966298
49.6,49.7985370802399
61.6,50.2712110594641
55.5,50.4943153973346
236.5,32.9960661629858
45.8,52.3348259103975
43.7,53.7839189112038
41.2,53.553434840292
81.2,47.491094075249
47.6,57.3742589609862
107.1,46.666631749312
116.9,44.1131996885761
173.4,39.7238763184986
57.7,54.0915484073606
54.3,53.20577365992
34.3,53.7845789295968
92.3,45.6448393434774
44.5,52.2818245140763
68.2,47.6287953310233
50.2,52.5010700957168
49.8,52.8695366492102
64.4,52.1760047171504
42.7,49.2424180275952
79.1,49.8756652534167
41.2,54.9442638186118
102.7,45.9057607185198
105,40.7161859089746
55.7,48.4750477395854
42.5,50.217174653541
89.6,47.2917414708179
46.8,56.6276987312847
84.5,47.9168138393141
50.7,50.8622544900088
56.8,49.4458294598122
38.3,52.7483503033034
58.3,48.1593341594498
57.6,50.2338440018751
96.1,41.3293262863784
58.4,46.3295757042117
47.8,50.9124695379653
57.9,48.0524493771574
126,43.0624008260385
59.8,50.1356386562078
76.8,49.1565190388088
49.3,46.8829283203145
97.4,53.7299187812292
68,48.4351810116995
96.1,42.1289051938904
69.8,49.6092431634811
121.3,38.5849596093735
37.6,49.7030905862644
87.1,47.4990360173282
56.4,48.8865262425381
149.5,43.6341074370582
33.6,51.2054482127314
67.1,41.4154111147816
67,51.0957241318422
32.2,53.8136694721275
36.5,56.6200626761078
93,46.2149571934203
36.1,52.413321643276
167.2,40.7006499068694
49.9,50.4357007953813
31.3,53.9910693610392
37.6,50.0581922464574
47.8,51.2619827834381
53.9,51.2989096991992
60.7,49.7787957344884
122.7,43.5578892754793
66.5,51.8128438843486
75,48.6790881223139
49,52.6185245493608
61.8,48.4581254270966
36.3,55.0343456047845
101.3,49.5924629707966
153.5,40.1406512529088
121,46.7576284710252
44,53.081972969705
59.2,50.5661446024774
95.4,50.2716593280697
77,45.7453384664853
58.8,52.3384863467942
88.8,52.3201901891688
59,51.826511079963
89.2,46.1772786512489
95.9,43.2100015553078
35.2,56.789341523594
39.5,56.8947771753945
43.1,50.6238440743999
178.1,40.325046300349
91.9,51.2761352061208
51.2,46.5649855890702
76.3,50.9050565718824
95.2,45.8372518664645
130.4,44.7140402474139
52.2,49.8072469419571
105.4,42.6035373613599
53.5,48.0936529195375
89.1,48.0550738027847
60.5,47.3237091724743
70.1,51.2634143976607
32.1,52.6313818084013
73.5,50.9109109563079
102.5,47.0438698282309
29.8,53.0396915299411
80.2,49.5724635861803
44.1,52.8773286242856
75,45.3742351193548
61.6,53.0260916130403
93.9,47.8738381437951
38.3,52.4670675802525
83.6,44.3594088740654
99.3,44.2083466275666
56.5,52.5151082020347
36.2,50.2688598088348
41.1,49.9337600250102
47.5,50.8851681446256
51.9,49.7475205095936
75.6,50.6240648220133
70.2,49.2838120329358
61.4,51.3807482790607
63.7,51.8328617023536
37.1,54.4750689506639
43.6,52.3642023369923
101.6,42.2347818170098
35.9,53.4970770420536
84.5,43.506159675591
68.4,48.3483446463585
57,48.0259614427298
48.3,54.8778541392733
64.1,51.7182738451456
34.5,52.4456936107769
55.8,53.6423310056742
117.2,45.3037451752578
55.1,45.4919671958402
50.5,49.6107541310879
83.9,52.5120641356937
51.1,55.4682691294029
103.5,43.3065523638168
44,53.0956222273557
68.5,48.9388774580455
46.2,50.8774167212867
49.1,54.1466471350772
74.9,47.502562637076
32.4,53.4896848801152
135.6,40.6603774831616
55.4,49.3827047327907
148.4,40.6581804255622
46.5,52.146924750717
62.1,53.8192847401857
46.9,53.1676797505941
47.1,55.2305103145608
41.7,53.061222622025
35.8,53.3638478858689
62.8,48.2844651098829
36.9,55.0488217302814
46.7,54.0017329496639
121.7,48.1019309193575
65.3,53.467615690498
37.8,51.1859131471673
98.9,45.7360903920058
55.8,50.2526512035659
110.3,43.094348430698
51.8,52.0144324305282
78.6,53.9423895649073
37.7,47.8075864922732
37.3,49.9379711006136
57.3,53.230595856469
86.3,52.755567143494
118.5,47.2844609851635
143,42.8555519583513
84.6,49.2391539808877
64.2,53.7240023610263
46.4,48.4820166051111
60.1,50.1301678201827
67.6,48.5679403054538
105,47.1130092929275
42.9,54.4654403237671
66.4,47.4488762848958
91.1,48.2068706077801
44.6,52.4048669785717
60.2,50.0827192739932
65.8,52.7189656837827
86.4,49.2630227619118
54.6,49.729358635152
69.1,46.5112628789374
44.3,51.5981014662128
59.5,52.8731036782949
44.3,51.9255957488389
64,52.4302813921054
57.6,47.2597227328578
44,50.1591215905257
43.7,50.4495988833739
45.4,49.6542497018852
57.1,52.7495568426389
50.2,50.0840044287996
102.6,44.2738792120624
88.6,46.1901892801666
78.4,52.6227896367545
29,53.4848667285806
80.8,49.6845216159489
36.6,52.2175885873367
145,43.6294636769292
28.8,50.4728306464962
66.7,46.5690502268609
90.3,48.9349261375942
71.8,49.1558831787229
87.2,50.6258923264958
44.8,57.0830810728949
134,43.6466674773895
109.9,44.8960008590741
45.2,56.1722408350276
60.2,51.322657270822
50,47.989263697571
236.7,34.199199999043
104.2,44.6875610114245
59.6,48.241211013906
66.2,53.67051097792
53.5,53.2172833000506
100.5,44.2680489360243
67.9,46.8443220181653
112,46.3069334917683
144.9,41.9587760399513
72.1,48.403237318072
139.7,41.0420284966451
51,51.1042919677325
42.6,53.6126414539408
84.9,46.7363530632118
30,53.0145716512383
69.7,48.5511977315153
48.2,53.4239490381395
36.4,50.6313545629315
51,52.6486562016836
120,41.7765454273756
145.8,38.8517184403802
51.2,47.2742531687745
60.5,52.0645335741444
39.5,48.8043901386226
49.7,54.525150844825
41.8,51.5613988653341
50.4,53.8627104313747
74.2,52.7942265292512
76.8,49.6307393296621
103,46.8801358172842
91.9,46.5821670595014
63.8,48.4522072731978
63.7,51.2271713828694
56.2,49.759176882253
76.9,47.7856453854999
72.1,54.6125109180576
72.9,48.0746456084208
36.5,50.3438081067661
36.6,55.101305654139
61.7,47.0175897821459
147.7,42.1029352657798
77.8,48.9434419349273
103.3,48.7470600255417
83.7,48.1898871174186
46.3,51.5559409134241
33.8,52.7022505832014
56.2,53.2510555778592
119.7,45.3186477673315
179.1,34.7198839843795
41.4,48.6203573381833
107.5,44.824353998843
70.6,49.8567592496751
38.9,54.2436617972936
57.4,52.5747979508675
78,47.5247801404669
41.8,49.8484575558365
48.6,51.7140690202266
41.7,47.8530538974243
51.3,52.7897264266682
75.9,51.0697704369227
103.7,43.08668323735
155.9,39.5499861939714
50.6,54.4763984124641
30,53.9210613495803
82.9,47.3216389750033
89,46.13964661308
168.8,34.4139071830715
68.4,45.4503274858987
88.8,46.9871393218767
63,47.344976153825
37.8,52.5926955875485
61.4,52.4368429699142
44.7,51.9463526708097
88.2,49.8232933712123
96.9,41.9651319177438
55.2,51.3786410624273
41.1,51.8280784040758
65.1,47.5915585774019
73.3,49.1995704788392
78.3,46.0388689269523
35.4,46.0578264550586
61.6,48.9223021105647
34.3,55.579816175515
55.7,49.6911939461464
41.1,50.4875983160695
94.1,46.2134066299037
75.7,53.9729185404154
77.6,46.1538175313763
62.5,48.8060147934945
58.5,49.9651713349347
61.7,49.1996547004697
93.6,47.8677103140341
39.2,50.5710596996109
43.7,50.8911408297563
95.3,44.7099501115095
57.8,50.1685396117003
85.5,47.5596269649515
43.2,50.1977618050817
33.1,49.0201539934929
65.5,50.1951211179079
94.5,45.2140770523459
49.1,52.1282270493474
73.6,50.2021194809711
58.7,48.8361873845358
75.6,50.7833100640435
59.1,49.6577835246875
74.7,50.7585185474959
59.7,51.3314396055336
50,48.2508649261944
44.8,52.7440694143817
44.5,54.7500453137924
49,48.8596244032061
37,54.3758982227536
68.2,47.3312648139076
36.5,54.9145934239361
144.1,40.9569418741728
42.5,53.9208892382111
32.9,55.6887278029156
75.8,45.8407501689746
64.5,49.3295630241038
48.1,51.2397326583616
90.2,50.1788077263534
47.9,52.2677942535882
46,49.1844672922885
63.5,48.8531911255261
56.4,52.8772677424759
49.2,48.9091184243211
68.1,47.370354376082
52.2,49.1444266540969
39.1,54.2522359009411
66.1,48.6394895687009
71.2,49.2291233135303
36.8,49.1378711304505
38.2,51.7532152214886
69.7,51.2546451307662
66.9,52.1095472221064
52.9,54.2085065526776
61.4,55.3246949296057
75.4,50.7670838474734
106.6,42.9774253694638
61.3,51.0150501726617
33.2,52.845336646996
46.9,52.5688746023473
49.3,51.0190788258383
33.2,50.9100503667623
88.4,44.9401958286001
47.8,47.8406209376062
80.5,46.382423933627
73,48.5427072719122
111,47.4567051337095
234.5,29.5023735588393
88.8,42.9672622783503
87.1,49.2182191251477
57,53.9183137740332
54.1,54.3844365747947
74.3,47.581042678356
104.5,42.6158179196045
106,40.9380413982894
44.9,50.9505924112103
103.2,41.0659842765818
64.6,48.885671060564
107.1,43.1621062943148
45.7,54.1717766981918
65.2,51.4167068864035
302.5,23.9179045595616
76.7,42.7288874659954
45,50.368404958595
92.3,47.3935716991303
57,51.2644669202205
41.7,51.5172714750248
166.3,39.6765150666997
88.2,40.9932850488237
41.3,55.9863262311952
85.3,49.1849720464192
74.4,50.4763761461353
71.8,52.7489273990106
73.2,49.2307578007494
38.2,54.3247043976915
42,51.9893173532048
107.7,44.8502226230532
32,46.9455551119327
41.1,48.2997862146591
48.7,51.2426505760216
50.4,50.4157339003418
37.5,53.8964217989634
68.2,47.6026114659565
67.1,51.1664709384709
44.8,50.2615899319621
98.7,44.2528059275249
63.2,51.2412246931368
191.2,39.8605934769788
115,44.8440938632948
40.9,50.9314453221289
66.9,51.5123040915776
49.4,51.1474811776687
110.8,42.0739771692793
77.6,50.3308930200474
44.8,53.2419180931054
49.3,55.611438974856
89.1,43.9574394163769
47.1,47.4354652223961
52.7,51.3971339285171
40.1,52.5501814712489
65.8,48.9614515424825
98.4,47.1983077781828
52.3,52.4120183672515
63.2,51.2201388589273
85.6,43.7704889854926
58.4,49.2632970152468
88.1,51.8466099801871
46.5,44.5427853678779
110.4,49.3460109613504
72.4,44.8787934309512
86,47.0946032198884
71.9,50.4593709287988
66.9,54.6400526247312
95.3,51.0034301719144
79.3,47.4109003364527
102.3,46.7995312707882
94.6,46.7826141582017
135.5,46.0535151719423
108.4,40.3374824613118
95.6,50.3456489047864
41.7,51.9130140781847
70.3,47.7294412444086
42.1,53.3139050636626
58.2,52.7582394577616
196.7,35.3393366992809
74,48.6049822302955
41.2,48.2737577970396
127.2,40.5044310383418
85.2,48.5246136743131
101.2,45.3860984989633
59.9,52.8608362550445
146.9,40.5070253628298
76.8,50.9835124627931
49.1,50.1078044186323
45.7,54.9979992451894
131.1,39.6222616940589
180.4,37.5100361029021
36.9,51.7011766051901
50.5,52.5523662953009
48.4,52.3677883086554
133.5,37.8242461929416
191.3,29.9608883433662
